dataset: ../../48_6_layer_sentences_balanced_newline.txt
seed: 2395333166
sequence_length: 6
sentence_length: 6
n_classes: 53
embedding_dim: 16
feedforward_dim: 64
n_blocks: 2
n_heads: 2
k_dim: 4
v_dim: 4
batch_size: 64
n_epochs: 5000
learning_rate: 0.001

epoch, train_loss, test_loss, n_in_sample, n_out_of_sample, n_invalid
446 0.039782870560884476 3.909625768661499 0 0 0
447 0.039612919092178345 3.911850929260254 0 0 0
448 0.03943464159965515 3.9139137268066406 0 0 0
449 0.03925684466958046 3.916074275970459 0 0 0
450 0.0390826091170311 3.9179606437683105 0 0 0
451 0.03891599923372269 3.9199328422546387 0 0 0
452 0.0387587696313858 3.9219770431518555 0 0 0
453 0.03860444203019142 3.923835277557373 0 0 0
454 0.03844759985804558 3.925981283187866 0 0 0
455 0.03828159719705582 3.928205966949463 0 0 0
456 0.03811384364962578 3.93050479888916 0 0 0
457 0.037942007184028625 3.9323997497558594 0 0 0
458 0.03777638450264931 3.9345078468322754 0 0 0
459 0.03761858865618706 3.9364326000213623 0 0 0
460 0.03746413812041283 3.9380834102630615 0 0 0
461 0.03731341287493706 3.940129280090332 0 0 0
462 0.03716017305850983 3.942257881164551 0 0 0
463 0.037002578377723694 3.9442973136901855 0 0 0
464 0.03684531897306442 3.9462361335754395 0 0 0
465 0.036688294261693954 3.948370933532715 0 0 0
466 0.036531709134578705 3.950230836868286 0 0 0
467 0.03638356551527977 3.9520227909088135 0 0 0
468 0.03623754903674126 3.9541234970092773 0 0 0
469 0.03609171509742737 3.956061363220215 0 0 0
470 0.03594878315925598 3.958014965057373 0 0 0
471 0.035803355276584625 3.96012806892395 0 0 0
472 0.03565099462866783 3.962428092956543 0 0 0
473 0.03550102934241295 3.9643025398254395 0 0 0
474 0.03535447269678116 3.966275215148926 0 0 0
475 0.035210322588682175 3.9682776927948 0 0 0
476 0.035075340420007706 3.9701054096221924 0 0 0
477 0.03494224324822426 3.9720396995544434 0 0 0
478 0.03480425477027893 3.973949432373047 0 0 0
479 0.03466327115893364 3.9761033058166504 0 0 0
480 0.03451569750905037 3.9778084754943848 0 0 0
481 0.03436782956123352 3.979837656021118 0 0 0
482 0.034230802208185196 3.981876850128174 0 0 0
483 0.034098681062459946 3.9835610389709473 0 0 0
484 0.03396911174058914 3.985407829284668 0 0 0
485 0.03383977711200714 3.9873642921447754 0 0 0
486 0.033707231283187866 3.98944354057312 0 0 0
487 0.03357083350419998 3.9912006855010986 0 0 0
488 0.03343094512820244 3.993321418762207 0 0 0
489 0.033292271196842194 3.9952774047851562 0 0 0
490 0.03316185623407364 3.9971213340759277 0 0 0
491 0.03303799033164978 3.9990055561065674 0 0 0
492 0.032915595918893814 4.000792980194092 0 0 0
493 0.03278873860836029 4.002812385559082 0 0 0
494 0.032659243792295456 4.004665374755859 0 0 0
495 0.03252580016851425 4.0068206787109375 0 0 0
496 0.03239453211426735 4.008691310882568 0 0 0
497 0.032269399613142014 4.0104827880859375 0 0 0
498 0.03214896470308304 4.012443542480469 0 0 0
499 0.03203076869249344 4.0142011642456055 0 0 0
500 0.03191076219081879 4.016044616699219 8584 111 1305
501 0.03178773820400238 4.01786994934082 0 0 0
502 0.03166124224662781 4.019983291625977 0 0 0
503 0.03153456375002861 4.021858215332031 0 0 0
504 0.03141244500875473 4.023766994476318 0 0 0
505 0.03129579499363899 4.025699615478516 0 0 0
